"txid"	"bin"	"shopperinteraction"	"cardtype"	"amount"	"currencycode"	"txtype"	"issuercountrycode"	"accountriskscore"	"threed"	"acquirer"	"auths"
10434	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10435	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10436	"497040"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10437	"497040"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10438	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10439	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10440	"497203"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10441	"497203"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10442	"497490"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10443	"497490"	"Ecommerce"	"DEFFERED_DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10444	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10445	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10446	"431947"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"IE"	-50	"3D secure"	"Adyen Int."	1
10447	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
10448	"497587"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10449	"497587"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10450	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
10451	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
10452	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
10453	"513162"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	1
10454	"513162"	"Ecommerce"	"CREDIT"	1999	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	1
10455	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
10456	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10457	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10458	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10459	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10460	"519935"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"TW"	150	"no 3D secure"	"RefusedAcquirer"	0
